jogoId,num,fase,rodada,grupo,dataHora,status,timeCasa,timeVisitante,golsCasa,golsVisitante
9ebfdd3b-789a-4e3a-a2b6-d7c31237e3d1,,GRUPOS,Matchday 14,Group A,2026-06-24T21:00:00.000Z,ENCERRADO,South Africa,South Korea,1,0
32e1259a-ec96-4e5b-8063-b0c1c3d87553,,GRUPOS,Matchday 15,Group E,2026-06-25T16:00:00.000Z,ENCERRADO,Ecuador,Germany,2,1
9bf43d45-0c13-438c-bd7a-6092b4aef4d2,,GRUPOS,Matchday 15,Group E,2026-06-25T16:00:00.000Z,ENCERRADO,Curaçao,Ivory Coast,0,2
908bbff6-9327-41c0-995f-29581a5f84ab,,GRUPOS,Matchday 15,Group F,2026-06-25T19:00:00.000Z,ENCERRADO,Tunisia,Netherlands,1,3
c7b8c1b3-52ad-4bef-81d9-1969853ba187,,GRUPOS,Matchday 15,Group F,2026-06-25T19:00:00.000Z,ENCERRADO,Japan,Sweden,1,1
e5959d04-83c8-4037-81fc-1133f95064c2,,GRUPOS,Matchday 15,Group D,2026-06-25T22:00:00.000Z,ENCERRADO,Paraguay,Australia,0,0
4e538c8b-876c-4009-849a-761125544175,,GRUPOS,Matchday 15,Group D,2026-06-25T22:00:00.000Z,ENCERRADO,Turkey,USA,3,2
276fc045-6d8a-40af-ba22-7e5c4b51e177,,GRUPOS,Matchday 16,Group I,2026-06-26T15:00:00.000Z,ENCERRADO,Norway,France,1,4
8e4c2b7f-aab6-4c6d-b181-7a637a728533,,GRUPOS,Matchday 16,Group I,2026-06-26T15:00:00.000Z,ENCERRADO,Senegal,Iraq,5,0
d83a4eb5-112c-4d4e-895b-737f0085d5dc,,GRUPOS,Matchday 16,Group H,2026-06-26T20:00:00.000Z,ENCERRADO,Cape Verde,Saudi Arabia,0,0
c6a97697-806b-45f8-8deb-24669a074940,,GRUPOS,Matchday 16,Group H,2026-06-26T20:00:00.000Z,ENCERRADO,Uruguay,Spain,0,1
d7a304b0-482e-46d8-b50b-d250885daf98,,GRUPOS,Matchday 16,Group G,2026-06-26T23:00:00.000Z,ENCERRADO,New Zealand,Belgium,1,5
360b9169-fffe-42c2-a352-481e999c5c10,,GRUPOS,Matchday 16,Group G,2026-06-26T23:00:00.000Z,ENCERRADO,Egypt,Iran,1,1
044a487b-ee61-4547-b15b-84630aae8b47,,GRUPOS,Matchday 17,Group L,2026-06-27T17:00:00.000Z,ENCERRADO,Panama,England,0,2
af891675-71a4-4e36-9820-710f18ef9e27,,GRUPOS,Matchday 17,Group L,2026-06-27T17:00:00.000Z,ENCERRADO,Croatia,Ghana,2,1
d048e70a-4271-483f-828e-5b0f3a2c32a2,,GRUPOS,Matchday 17,Group K,2026-06-27T19:30:00.000Z,ENCERRADO,Colombia,Portugal,0,0
509c27bb-9832-4145-8630-c309ac6b50cb,,GRUPOS,Matchday 17,Group K,2026-06-27T19:30:00.000Z,ENCERRADO,DR Congo,Uzbekistan,3,1
5e870695-b61c-467b-91db-d4361d873104,,GRUPOS,Matchday 17,Group J,2026-06-27T22:00:00.000Z,ENCERRADO,Algeria,Austria,3,3
b59a5f79-d8a9-4ad4-a99e-643e36491858,,GRUPOS,Matchday 17,Group J,2026-06-27T22:00:00.000Z,ENCERRADO,Jordan,Argentina,1,3
ecae4b2c-7bfc-4571-91b5-a432eb75590c,73,ROUND_OF_32,Round of 32,,2026-06-28T15:00:00.000Z,ENCERRADO,South Africa,Canada,0,1
a21590e7-aebe-4567-86d6-9f0438253499,76,ROUND_OF_32,Round of 32,,2026-06-29T13:00:00.000Z,ENCERRADO,Brazil,Japan,2,1
a16013d6-3762-4648-be74-335396e2ad8f,74,ROUND_OF_32,Round of 32,,2026-06-29T16:30:00.000Z,ENCERRADO,Germany,Paraguay,1,1
a97d7a61-3abf-4d9d-951f-faccaf20057a,75,ROUND_OF_32,Round of 32,,2026-06-29T21:00:00.000Z,ENCERRADO,Netherlands,Morocco,1,1
d93d8dec-d202-40a3-8957-a021688ac596,78,ROUND_OF_32,Round of 32,,2026-06-30T13:00:00.000Z,ENCERRADO,Ivory Coast,Norway,1,2
9bf02b87-7757-4ccc-a30e-513516a17184,77,ROUND_OF_32,Round of 32,,2026-06-30T17:00:00.000Z,ENCERRADO,France,Sweden,3,0
ed804ac5-a1cb-4eaf-8852-9c06790effe3,79,ROUND_OF_32,Round of 32,,2026-06-30T21:00:00.000Z,ENCERRADO,Mexico,Ecuador,2,0
5c1cd95e-7228-4c95-bc04-b3b1e91aa43e,80,ROUND_OF_32,Round of 32,,2026-07-01T12:00:00.000Z,ENCERRADO,England,DR Congo,2,1
5d64a052-648a-4757-b9d7-fb43a3ecf0fb,82,ROUND_OF_32,Round of 32,,2026-07-01T16:00:00.000Z,ENCERRADO,Belgium,Senegal,3,2
1240cd20-a0b3-4e27-854f-2219824b7fa0,81,ROUND_OF_32,Round of 32,,2026-07-01T20:00:00.000Z,ENCERRADO,USA,Bosnia & Herzegovina,2,0
873d7302-6f61-4fa4-8859-9a0e603a7cee,84,ROUND_OF_32,Round of 32,,2026-07-02T15:00:00.000Z,ENCERRADO,Spain,Austria,3,0
500361c0-756d-4f97-96a5-820633059c0b,83,ROUND_OF_32,Round of 32,,2026-07-02T19:00:00.000Z,ENCERRADO,Portugal,Croatia,2,1
6730aac2-38fd-4988-b570-bd0af1758b20,85,ROUND_OF_32,Round of 32,,2026-07-02T23:00:00.000Z,ENCERRADO,Switzerland,Algeria,2,0
a5f5f8bf-7c23-479e-b4c3-2d4868bdd66e,88,ROUND_OF_32,Round of 32,,2026-07-03T14:00:00.000Z,ENCERRADO,Australia,Egypt,1,1
f6f03838-c355-4ea7-8a55-ecaf2b16e2f4,86,ROUND_OF_32,Round of 32,,2026-07-03T18:00:00.000Z,ENCERRADO,Argentina,Cape Verde,3,2
a34486b0-e0d6-4c3e-807e-187e4b9c7e76,87,ROUND_OF_32,Round of 32,,2026-07-03T21:30:00.000Z,ENCERRADO,Colombia,Ghana,1,0
745592d9-5de4-4c1f-8974-19956d40d9dd,90,ROUND_OF_16,Round of 16,,2026-07-04T13:00:00.000Z,ENCERRADO,Canada,Morocco,0,3
2a015e92-67e6-4393-b85c-fba131f710e8,89,ROUND_OF_16,Round of 16,,2026-07-04T17:00:00.000Z,ENCERRADO,Paraguay,France,0,1
46513a62-3057-4242-b420-66607b6b94b0,91,ROUND_OF_16,Round of 16,,2026-07-05T16:00:00.000Z,ENCERRADO,Brazil,Norway,1,2
1a47241b-f04f-45cf-84c1-9ce6dd2992fd,92,ROUND_OF_16,Round of 16,,2026-07-05T20:00:00.000Z,ENCERRADO,Mexico,England,2,3
7376d781-0d8e-49f7-9f7d-42802bc540d6,93,ROUND_OF_16,Round of 16,,2026-07-06T15:00:00.000Z,ENCERRADO,Portugal,Spain,0,1
8fe26221-e619-4442-b8f6-3bb5a152a9c4,94,ROUND_OF_16,Round of 16,,2026-07-06T20:00:00.000Z,ENCERRADO,USA,Belgium,1,4
c704af5a-073a-493b-8034-73f2e7596f41,95,ROUND_OF_16,Round of 16,,2026-07-07T12:00:00.000Z,ENCERRADO,Argentina,Egypt,3,2
28c7fcad-95ce-4b4c-a066-9578d586ae3d,96,ROUND_OF_16,Round of 16,,2026-07-07T16:00:00.000Z,ENCERRADO,Switzerland,Colombia,0,0
21205efd-340a-4d0b-a4bd-633a4318c780,97,QUARTAS,Quarter-final,,2026-07-09T16:00:00.000Z,ENCERRADO,France,Morocco,2,0
61cf88f8-68d5-4150-b88a-0df92301ba66,98,QUARTAS,Quarter-final,,2026-07-10T15:00:00.000Z,ENCERRADO,Spain,Belgium,2,1
237822a2-65df-4ce2-90aa-68fdcc5f806a,99,QUARTAS,Quarter-final,,2026-07-11T17:00:00.000Z,ENCERRADO,Norway,England,1,2
8e71d448-d369-48c6-a3ee-6f209ceba4fa,100,QUARTAS,Quarter-final,,2026-07-11T21:00:00.000Z,ENCERRADO,Argentina,Switzerland,3,1
2aded486-2abf-404f-8279-ae500ce9bf4e,101,SEMIFINAL,Semi-final,,2026-07-14T15:00:00.000Z,ENCERRADO,France,Spain,0,2
57954696-3169-4ec6-8e2e-085a68a843dd,102,SEMIFINAL,Semi-final,,2026-07-15T15:00:00.000Z,ENCERRADO,England,Argentina,1,2
86850df2-11a2-46c4-bf3d-1b0cfb2b610a,,TERCEIRO_LUGAR,Match for third place,,2026-07-18T17:00:00.000Z,ENCERRADO,France,England,4,6
39b08f81-a568-48d5-8d08-4093d092dab9,,FINAL,Final,,2026-07-19T15:00:00.000Z,ENCERRADO,Spain,Argentina,1,0
